"","created_time","snippet","headline","wordcount","section"
"1","2000-12-18T05:00:00+0000","Knud W Jensen, who founded Louisiana Museum of contemporary art in Denmark and was its director from 1958 to 1995, dies at age 84 (S)","Knud W. Jensen, 84, Who Founded Danish Museum of Contemporary Art",274,"Arts"
"2","2000-12-21T05:00:00+0000","British Food Standards Agency says that contrary to claims of Friends of the Earth, it has found no unauthorized genetically modified ingredients in tortilla chips sold in Britain; group said in November that tests it commissioned detected Monsant...","BRITISH TEST FOR UNAUTHORIZED CORN",185,"Business Day"
"3","2000-12-18T05:00:00+0000","Article in series, Crossing Borders, on how migration is changing face of Europe; focuses on Denmark, where thousands of second-generation Turks find themselves pulled between strict traditions of homeland and freewheeling Western ways; many live ...","For 'New Danes,' Differences Create a Divide",3057,"World"
"4","2000-12-08T05:00:00+0000","Deutsche Bahn rejects offers from two bidders for Scandlines, ferry company it has owned jointly with Danish government since 1998 (S)","BALTIC FERRY BIDS REJECTED",65,"Business Day"
"5","2000-12-07T05:00:00+0000","Scandinavia House mounts exhibition of work of young designers from Finland, Sweden, Norway, Iceland and Denmark, and it does not have pale, clean and simple look associated with great Scandianian designers of 1950's and 60's; these young designer...","The New Nordics: Burning the Forest and Breaking the Ice",1841,"Home & Garden"
"6","2000-12-06T05:00:00+0000","Denmark's Dorte Jensen and crew beat 24-team fleet to win Rolex 2000 ISAF women's match racing championship in St Petersburg, Florida (S)","Jensen Keeps Women's Title",169,"Sports"
"7","2000-11-30T05:00:00+0000","Greenland seems resigned to remain Home Rule colony of Denmark, despite pressures for independence; while world's largest island is geologically part of North America, lying only 200 miles east of Canada, it overwhelmingly depends on Europe; Denma...","Greenland Is Pampered But Ponders Cutting Free",641,"World"
"8","2000-11-27T05:00:00+0000","Rosemary Clooney will sing White Christmas and other hits at Feinstein's; Queen Margrethe II will lead festivities at opening of new three-story museum in Jelling designed to enhance village's role as birthplace of Denmark in 900's; Alvin Ailey Am...","This Week",413,"Theater"
"9","2000-11-26T05:00:00+0000","Windmills are nation's fastest-growing source of electricity, with capacity expected to double in next year; with development of bigger, more sophisticated turbines, cost of wind-generated electricity, once seen as prohibitive, is now nearly compe...","Curse of the Wind Turns to Farmers' Blessing",1677,"U.S."
"10","2000-11-14T05:00:00+0000","Swiss auction of wireless phone licenses collapses minutes before bidding is set to start for licenses because of string of deals that would effectively merge two of bidders into one, reducing number of potential buyers from five to four; Sunrise ...","Swiss Auction of Wireless Phone Licenses Collapses",908,"Business Day"
"11","2000-11-07T05:00:00+0000","Friends of the Earth says variety of genetically modified corn not approved in Europe for any use has been found in food in Britain and Denmark; report, if confirmed, could raise new questions about controls that are supposed to keep genetically e...","Group Reports Genetic Corn in European Food",443,"Business Day"
