"","created_time","snippet","headline","wordcount","section"
"1","2018-12-20T11:19:46+0000","The bodies of Louisa Vesterager Jespersen, 24, of Denmark and Maren Ueland, 28, of Norway were found by other tourists in an isolated area of the High Atlas Mountains.","4 Men Held in Tourist Killings in Morocco. Denmark Calls It ‘Act of Terror.’",867,"World"
"2","2018-12-20T13:02:14+0000","Lawmakers say the measure is aimed at those who refuse on religious grounds to touch members of the opposite sex. Some mayors plan to work around it.","Denmark, With an Eye on Muslims, Requires New Citizens to Shake Hands",956,"World"
"3","2018-12-03T17:54:31+0000","The island center, housing as many as 100 people, is part of the government’s drive to make life so untenable for failed asylum seekers that they leave voluntarily.","Denmark Plans to Isolate Unwanted Migrants on a Small Island",769,"World"
"4","2018-12-29T16:00:08+0000","Three decades after a top climate scientist warned Congress of the dangers of global warming, greenhouse gas emissions keep rising and so do global temperatures.","Going Nowhere Fast on Climate, Year After Year ",2687,"Opinion"
"5","2018-12-22T10:53:42+0000","Nine more people have been detained in connection with the killings of Maren Ueland, 28, of Norway and Louisa Vesterager Jespersen, 24, of Denmark.","Video of Tourist’s Killing in Morocco Is Most Likely Real, Norway Says",804,"World"
"6","2018-11-21T16:51:15+0000","Nedim Yasar had been the target of attacks since becoming a prominent voice against gang membership, and had cooperated with a biography.","Reformed Gang Leader in Denmark Is Shot Dead Leaving Book Party",770,"World"
"7","2018-11-24T15:17:28+0000","A 26-year-old man has been accused of impersonating a teenage girl online to lure hundreds of boys into sending him explicit images and of abusing some of them offline.","A Case of ‘Catfishing,’ Blackmail and Sexual Abuse Rattles Norway ",1100,"World"
"8","2018-11-19T09:00:01+0000","In her dark and evocative images, Judy Glickman Lauder explores the contrast between the reality of hate, the possibility of defeating it and photography’s role in spurring change.","The Holocaust’s Paradox of Good and Evil, in Photographs",924,"Lens"
"9","2018-11-16T10:00:04+0000","René Redzepi has opened what fans call Noma 2.0 after pop-ups in Mexico, Australia and Japan brought the restaurateur even more acclaim in the food world. But what he really wants to do is go on a trip with his family.","‘It’s Almost Three Years Since I Had a Proper Vacation’",827,"Travel"
"10","2018-11-07T15:28:20+0000","Nadia Olive Schnack’s Copenhagen home mixes unexpected, even clashing hues with an almost anarchic disrespect for convention. ","This Danish Designer Wages Battle Against Tasteful Nordic Grays",661,"T Magazine"
"11","2018-11-01T17:35:06+0000","The charge that Iran tried to kill an Arab separatist leader on Danish soil has angered a country unused to political violence.","Iran Accused of Plot to Assassinate Dissident in Denmark",679,"World"
"12","2018-11-09T18:39:22+0000","A show at the Park Avenue Armory embraces Modernism’s classics, new craft and artists rooted in South African culture. Here are some highlights.","Salon Art + Design, a Fair With Wit, Cheek, History",971,"Arts"
"13","2018-11-07T15:27:17+0000","Crimson collides with periwinkle and royal blue pops against daffodil yellow in this Copenhagen abode.","Inside the Designer Nadia Olive Schnack’s Colorful Home",0,"T Magazine"
"14","2018-11-06T10:10:08+0000","Versions of the hit British TV show in Denmark, Finland, Norway and Sweden also feature well-sculpted singles in a Spanish villa. In other ways, they’re quite different.","‘Love Island’ in the Land of Gender Equality",1181,"Arts"
"15","2018-10-25T03:04:51+0000","The problem, African swine fever, is serious, but critics say Denmark’s answer is not, and infected wild boar will find their way in from Germany.","Denmark Plans a Fence to Stop a Pig Disease. Will It Work?",1177,"World"
"16","2018-10-27T14:22:57+0000","The truth about the Nordic economies.","Are the Danes Melancholy? Are the Swedes Sad?",913,"Opinion"
"17","2018-10-24T14:29:14+0000","It might take longer to recoup investments in fiber infrastructure than investors like Goldman Sachs and KKR hope.","Private Equity’s Broadband Rush Is Riskier Than It Looks",416,"Business Day"
"18","2018-10-24T04:06:10+0000","My journey to the dark heart of salmiakki — the uniquely savory, deeply strange licorice that Finland just can’t quit.","The Saltier the Licorice, the Happier the Country. Just Look at Finland.",0,"Magazine"
"19","2018-10-20T18:59:02+0000","These architects of the global economy pride themselves on being brilliant, aloof and rational. And then they wonder why they’re not more popular.","The Secret Lives of Central Bankers",1115,"Opinion"
"20","2018-10-17T16:54:24+0000","Sophie and Frederik Bille Brahe have pursued different careers — she’s a jewelry designer, he’s a chef — but they share a deep respect for craft and storytelling.","The Siblings Making Copenhagen’s Most Stylish Jewelry and Food",757,"T Magazine"
"21","2018-10-11T16:45:54+0000","A woman suspected of taking money intended to help the most vulnerable people, including the homeless and disabled, is the subject of an international hunt.","Danish Welfare Agency Worker Is Accused of Stealing $17 Million",534,"World"
"22","2018-10-05T09:00:15+0000","Officials say the country’s tax agency was swindled by a London-born financier who moved to Dubai. Now, it wants the money back.","Where in the World Is Denmark’s $2 Billion?",3495,"Business Day"
"23","2018-10-04T13:28:11+0000","The Danish lender said it is cooperating with a Department of Justice criminal investigation into flows of money at its branch in Estonia.","Danske Bank Faces U.S. Inquiry Over Money Laundering",447,"Business Day"
"24","2018-10-08T09:29:05+0000","“Great architecture by great architects is a way to physically manifest success, because big buildings equal big profits in people’s minds.”","Oil Company Headquarters Make a Powerful Statement",730,"Business Day"
"25","2018-09-27T21:00:26+0000","The city is partnering with Copenhagen to plan open spaces that can absorb or store rainwater from intense storms.","New York’s Next Nickname: The Big Sponge?",890,"New York"
"26","2018-09-19T15:13:05+0000","The Danish lender published a report saying its branch in Estonia had failed for years to stop suspected money laundering potentially involving thousands of customers.","Danske Bank Says Billions May Have Been Laundered at Single Branch",681,"Business Day"
"27","2018-09-19T13:25:56+0000","The Danish bank’s C.E.O. has quit over potentially suspect Estonian payments. The problem is it still doesn’t know how bad the problem really is.","Danske Bank’s Mea Culpa Over Suspicious Payments May Not End Its Troubles",412,"Business Day"
"28","2018-09-12T08:20:01+0000","A major new exhibition in Denmark looks at how the celestial body has fascinated artists, writers and scientists.","The Meaning of the Moon, From the Incas to the Space Race",1130,"Arts"
"29","2018-09-07T13:48:18+0000","Arjen Kamphuis was last seen on Aug. 20 in a remote Arctic town in Norway. Online theories range from C.I.A. abduction to a secret mission for Julian Assange.","A Security Expert Tied to WikiLeaks Vanishes, and the Internet Is Abuzz",861,"World"
"30","2018-08-16T22:28:45+0000","If this be socialism, make the most of it.","Something Not Rotten in Denmark",819,"Opinion"
"31","2018-08-31T12:00:07+0000","The Danish toymaker has relied on oil-based plastics for over 50 years. It wants to give them up by 2030. Finding alternatives is a vast project.","Lego Wants to Completely Remake Its Toy Bricks (Without Anyone Noticing)",1087,"Business Day"
"32","2018-08-15T17:26:34+0000","An anchor, Trish Regan, called the country a warning about socialism, mentioning it alongside Venezuela. The Danish finance minister led an angry response.","Fox Business Took a Shot at Denmark. Denmark Fired Back.",496,"World"
"33","2018-08-26T18:23:32+0000","Minimal government doesn’t remove power from our lives","Capitalism, Socialism, and Unfreedom",875,"Opinion"
"34","2018-08-26T13:09:13+0000","In the five Nordic countries, an average of 12.3 percent of the population is “struggling” or “suffering,” according to new research.","In World’s ‘Happiest’ Countries, Signs of a Happiness Gap",545,"World"
"35","2018-08-26T07:00:07+0000","Danish authorities tolerate Freetown Christiania, a long-running utopian experiment with an open-air drug market. But tolerance has its limits, and the mood in Denmark is tilting toward law-and-order.","In Anarchic Corner of Copenhagen, Police and Dealers Play Cat and Mouse",1065,"World"
"36","2018-08-01T21:03:48+0000","A ban on face veils in public came into effect on Wednesday, setting off protests and criticism from human rights groups.","Denmark’s Ban on Muslim Face Veil Is Met With Protest",731,"World"
"37","2018-08-05T17:12:04+0000","Being a huge nerd in Denmark.","Notes on a Butter Republic",1056,"Opinion"
"38","2018-07-02T03:30:04+0000","The Danes, who have struggled to integrate non-Western families, are getting tough: From age 1, immigrant children will receive mandatory instruction in “Danish culture.”","In Denmark, Harsh New Laws for Immigrant ‘Ghettos’",1713,"World"
"39","2018-06-21T09:50:05+0000","Denmark and Australia played a 1-1 draw in Samara on Thursday that kept Denmark on course to qualify and left Australia far short of that.","Denmark on Pace to Advance in World Cup After Draw With Australia",1148,"Sports"
"40","2018-06-23T07:53:11+0000","For four days in June, leaders, chief executives and ordinary Danes flock to a remote island in the Baltic Sea to hash out issues profound and personal at Folkemodet, a political festival.","Where Danes Butt Heads (Politely) With Their Leaders",1266,"World"
"41","2018-07-16T05:08:31+0000","Just look around Europe: It’s clear that accommodating radical nationalists is a losing proposition. ","To Defeat Far-Right Nationalists, Don’t Try to Imitate Them",1124,"Opinion"
"42","2018-07-16T09:00:04+0000","We’ve rounded up some of T’s dreamiest interior features for all of the year-round homebodies.","9 Homes That Make a Case for the Great Indoors",803,"T Magazine"
"43","2018-06-26T11:56:47+0000","France was already through to the next round, but Denmark needed at least a draw. Fans booed the result.","France and Denmark Advance After World Cup’s First 0-0 Draw",2221,"Sports"
"44","2018-06-02T09:59:05+0000","A petition for the idea reached the threshold that would push it to Parliament, and polls suggest wide public support. The government is much less keen.","Denmark Talks (Reluctantly) About a Ban on Circumcising Boys",1068,"World"
"45","2018-04-25T22:57:15+0000","The death of Kim Wall aboard the inventor Peter Madsen’s submarine came as a shock to a country in which random, brutal murders are a rarity.","Covering the Murder Case That Shook Denmark",751,"Times Insider"
"46","2018-05-22T17:18:20+0000","The minister, Inger Stojberg, said fasting Muslims should stay home from work “to avoid negative consequences for the rest of Danish society.”","Denmark Minister Calls Fasting Muslims ‘a Danger’ in Ramadan",911,"World"
"47","2018-08-27T09:00:06+0000","A Copenhagen bakery brings its seeded rye breads and breakfast pastries to Union Square.","The Danes Arrive With Danish",141,"Food"
"48","2018-03-29T17:46:17+0000","In a nation with one of the highest divorce rates in Europe, the government has come to the conclusion that some breakups should take more than a few clicks.","A Quick Online Divorce for $60? Not So Fast, Denmark Says",682,"World"
"49","2018-05-07T09:45:00+0000","Can you find Denmark on a map? What else do you know about this Northern European nation with 5.6 million people?","How Much Do You Know About Denmark?",0,"The Learning Network"
"50","2018-04-25T11:02:01+0000","The submarine creator had admitted to dismembering the Swedish journalist and to discarding her body. He was sentenced to life in prison, the maximum possible.","Peter Madsen, Danish Inventor, Is Convicted of Killing Kim Wall",1146,"World"
"51","2018-02-06T23:11:06+0000","These emerging labels — each of which presented their new fall/winter 2018 collections at Copenhagen Fashion Week — are winning over customers at home and abroad.","Three Independent Danish Brands to Know ",1002,"T Magazine"
"52","2018-03-08T09:15:39+0000","Peter Madsen is said to have killed and dismembered Kim Wall after inviting her onto his self-built sub, in a case that has garnered worldwide attention.","Danish Inventor Accused of Submarine Murder Takes the Stand",1076,"World"
"53","2018-04-14T09:30:05+0000","Long after his death, Hans Jonathan is something of a celebrity in Iceland, where he is thought to have been the first black person. But in Denmark, his extraordinary story is widely ignored.","Iceland’s 1st Black Citizen? An Ex-Slave and War Hero Denmark Now Disregards",1123,"World"
"54","2018-06-16T14:30:04+0000","Denmark held on for a 1-0 win in Peru’s first World Cup game since 1982. Christian Cueva badly missed a penalty in the first half that would have given Peru the lead.","Denmark Spoils Peru’s World Cup Return",1008,"Sports"
"55","2018-07-02T03:52:55+0000","Here’s what you need to know to start your day.","Denmark, Merkel, Russia: Your Monday Briefing",1250,"Briefing"
"56","2018-06-04T03:57:19+0000","Here’s what you need to know to start your day.","Populists, Britain, Denmark: Your Monday Briefing",1286,"Briefing"
"57","2018-04-26T03:28:50+0000","Here’s what you need to know to start your day.","Macron, Berlin, Denmark: Your Thursday Briefing",1281,"Briefing"
"58","2018-06-25T03:31:52+0000","Here’s what you need to know to start your day.","Turkey, Brexit, Denmark: Your Monday Briefing",1324,"Briefing"
"59","2018-02-16T17:50:27+0000","The wishes of Prince Henrik, husband of Queen Margrethe II, who considered his title a mark of gender inequality and died at 83, break royal tradition.","Final Resting Place for Danish Prince Who Yearned to Be King: Not Beside the Queen",918,"World"
"60","2018-12-21T05:37:10+0000","Let us help you start your day. ","Afghanistan, Denmark, Hakuna Matata: Your Friday Briefing",1135,"Briefing"
