"","created_time","snippet","headline","wordcount","section"
"1","2001-12-13T05:00:00+0000","Stelton Denmark, in celebration of 100th anniversary of birth of Danish designer Arne Jacobsen, is offering his Cylinda tea sets in limited edition of 1,500; photo (Currents column) (S)","Taking Tea With a Master",120,"Home & Garden"
"2","2001-11-01T05:00:00+0000","Danish Prime Min Poul Nyrup Rasmussen calls election for Nov 20, saying that waiting for mid-March deadline would force four months of campaigning on country at time of uncertainty brought on by terror attacks of Sept 11 (S)","World Briefing | Europe: Denmark: Premier Calls Quick Election",64,"World"
"3","2001-10-07T05:00:00+0000","North Sea Cycle route noted; map (S)","Travel Advisory; Bicycle Route Links North Sea Countries",176,"Travel"
"4","2001-09-18T05:00:00+0000","Scandinavian Airlines System's board quits after independent panel criticizes its handling of marketing accord with Maersk Air of Denmark that led to European Union fine; panel says that even though board was not aware of pact, it shows 'lack of a...","World Business Briefing | Europe: Sweden: SAS Board Quits",73,"Business Day"
"5","2001-08-18T05:00:00+0000","Denmark suspends all direct aid to Zimbabwe Pres Robert Mugabe's g6","World Briefing | Africa: Zimbabwe: Denmark Ends All Aid",92,"World"
"6","2001-07-31T05:00:00+0000","John Russell reviews exhibit at Danish National Gallery of paintings by August Strindberg, who is known primarily as playwright; photo (M)","Strindberg's Deep Anxiety, But No Words",818,"Arts"
"7","2001-09-21T05:00:00+0000","Telia AB, TDC AS, Orange SA and a venture backed by Investor AB and Hutchison Whampoa Ltd. won licenses to provide faster wireless services in Denmark. Telenor ASA, the top phone company in Norway, lost out. Denmark, one of the last European count...","Tech Brief :3G DENMARK",401,"Business Day"
"8","2001-07-31T05:00:00+0000","Roper Industries to buy Struers Holdings, maker of testing equipment, for $139 million (S)","FUEL EQUIPMENT COMPANY BUYING DANISH MANUFACTURER",63,"Business Day"
"9","2001-07-24T05:00:00+0000","","GE CAPITAL TO ACQUIRE DANISH CREDIT CARD BUSINESS",78,"Business Day"
"10","2001-06-10T05:00:00+0000","Ken Chowder article on Dragor, centuries-old Danish fishing village with narrow walking streets and cozy, tranquil air of old Nantucket; photos; map (M)","A Still Life In Motion",2130,"Travel"
"11","2001-06-10T05:00:00+0000","Anthony Tommasini reviews Royal Danish Opera recording of The Handmaid's Tale, Poul Ruders opera adapted from Margaret Atwood's 1986 novel; photo (M)","A Cautionary Tale Taken From Pulpit to Stage",911,"Arts"
"12","2001-05-27T05:00:00+0000","Danish study finding that 'placebo effect' in medical treatment does not exist discussed; photo (S)","Putting Your Faith In Science?",862,"Week in Review"
"13","2001-05-17T05:00:00+0000","ASIA","World Business Briefing",759,"Business Day"
