"","created_time","snippet","headline","wordcount","section"
"1","2021-12-13T19:20:07+0000","Inger Stojberg was sentenced to two months’ incarceration after being found by a court to have illegally ordered the separations of married migrant couples in which at least one person was underage.","Former Immigration Minister in Denmark Sentenced to Prison for Separating Couples",583,"World"
"2","2021-12-13T20:58:06+0000","Health authorities in Europe are warning of a sharp increase in Omicron cases, adding to an existing surge from the Delta variant.","Denmark and Norway Predict Drastic Spike in Omicron Cases",1353,"Health"
"3","2021-12-09T18:06:26+0000","The prime minister, Mette Frederiksen, said she did not know the government lacked legal authority to order the mass slaughter of 17 million minks after infected animals passed the virus to humans.","Danish Leader Is Questioned Over ‘Minkgate’ Cull Driven by Covid Fears",624,"World"
"4","2021-12-05T17:24:02+0000","The nations are widely perceived as leaders in genomic sequencing and testing, giving them an edge over tracking the spread of the virus and its mutations.","Britain and Denmark report a rise in known Omicron cases.",569,"World"
"5","2021-12-29T18:00:03+0000","The surge of cases is causing chaos as people scramble to obtain tests, businesses grapple with staff shortages and New Year’s festivities are thrown into question.","Spurred by Omicron, Europe Is Setting Coronavirus Infection Records Every Day",1171,"World"
"6","2021-12-10T14:02:06+0000","A partnership with Australia, Denmark, Norway, Canada, France, the Netherlands and the United Kingdom aims to stem the flow of key technologies to authoritarian governments.","U.S. and Others Pledge Export Controls Tied to Human Rights",820,"Business Day"
"7","2021-12-05T22:08:17+0000","With cases of the Omicron variant rising in Europe, there are worries that even tougher restrictions are looming over a holiday period that many had hoped would be a return to some normalcy.","Spike in Omicron Variant Cases Puts Europe on Edge",1411,"World"
"8","2021-12-02T17:09:45+0000","A Danish documentary uses animation to tell the poignant, complicated story of an Afghan refugee.","‘Flee’ Review: From Kabul to Copenhagen",655,"Movies"
"9","2021-11-26T15:00:07+0000","Jonas Poher Rasmussen’s childhood friend kept his flight from Afghanistan secret for 20 years. Now, Rasmussen has told his story through the award-winning film “Flee.”","A Refugee’s Harrowing Story, Finally Told Through Animation",1460,"Movies"
"10","2021-11-14T16:00:07+0000","Social and institutional trust are critical when the future is uncertain.","Denmark’s Hard Lessons About Trust and the Pandemic",1024,"Opinion"
"11","2021-11-07T18:45:20+0000","The music festival at Astroworld in Houston left 10 people dead. Here is what is known about them.","Astroworld Victims Include High Schoolers and College Students",1876,"U.S."
"12","2021-11-07T01:18:53+0000","Ten people were killed at a Travis Scott concert in Houston. Investigators said a crowd surged toward the stage, but the cause remains unknown.","What to Know About the Houston Astroworld Tragedy",1140,"U.S."
"13","2021-10-22T09:07:23+0000","American moms are isolated, overworked and undersupported. The solution may be living together, separately.","Does Co-Housing Provide a Path to Happiness for Modern Parents?",4467,"Opinion"
"14","2021-10-14T11:00:07+0000","This thoughtful hostage drama from Denmark depicts the events surrounding the capturing of Daniel Rye, a photojournalist, by ISIS in 2013.","‘Held for Ransom’ Review: Negotiating With Terrorists",358,"Movies"
"15","2021-10-08T09:02:32+0000","SailGP’s second season is more than halfway over, and the racing has been exciting. Here are the highlights.","A Sailing Season Full of Drama",1007,"Sports"
"16","2021-10-01T16:37:22+0000","The artist delivered two blank canvases titled ‘Take the Money and Run’ to a Danish museum. He was commissioned to produce a commentary on work in the modern world.","In the Name of Art, an Artist Pockets $83,000 and Creates Nothing",580,"World"
"17","2021-10-06T09:00:23+0000","Rich countries contribute an average of $14,000 per year for a toddler’s care, compared with $500 in the U.S. The Democrats’ spending bill tries to shrink the gap.","How Other Nations Pay for Child Care. The U.S. Is an Outlier.",1221,"The Upshot"
"18","2021-09-23T23:00:09+0000","A lot of what they think they know just isn’t so.","Are Centrists in the Thrall of Right-Wing Propaganda?",886,"Opinion"
"19","2021-09-11T21:11:06+0000","The country’s health minister said, “This can only be done because we have come a long way with the vaccination rollout, have a strong epidemic control, and because the entire Danish population has made an enormous effort to get here.”","Denmark lifts the last of its coronavirus restrictions.",352,"World"
"20","2021-09-02T18:35:37+0000","Inger Stojberg, who presided over tough anti-immigrant policies when her party was in charge, is being tried on charges of illegally separating couples who sought asylum.","Danish Official Faces Impeachment Trial Over Migration Policy Separating Couples",927,"World"
"21","2021-08-27T11:44:36+0000","The socially critical designation is a political one, which allowed officials to enact measures such as national closures and requirements for coronavirus passes.","Denmark says Covid is no longer a ‘socially critical disease.’",194,"World"
"22","2021-08-17T15:10:54+0000","The heirs of the artist behind the Copenhagen landmark want a similar statue torn down. And they want compensation, too.","Denmark Now Has Two Little Mermaids. The Famous One Is Suing.",1124,"Arts"
"23","2021-08-14T12:33:26+0000","Several European countries have said they are withdrawing embassy workers and seeking to evacuate those who have helped them.","Canada promises refuge for 20,000 Afghans as nations scramble to evacuate.",272,"World"
"24","2021-07-02T18:27:04+0000","Sometimes, timing and talent and teaching converge. Sometimes there is a story to tell and a path others can follow. And sometimes there is not.","Denmark’s Secret: There Is No Secret",1552,"Sports"
"25","2021-07-31T08:14:15+0000","The body of Danish Siddiqui, a Pulitzer Prize winner killed in Afghanistan, was unrecognizable when it was brought to a Kandahar hospital, one official said.","Body of Reuters Photographer Was Mutilated in Taliban Custody, Officials Say",774,"World"
"26","2021-07-16T12:38:37+0000","The Pulitzer Prize-winning photographer was killed in a clash between Afghan forces and the Taliban.","Danish Siddiqui, Reuters Photojournalist, Is Killed in Afghanistan",920,"World"
"27","2021-06-17T14:54:24+0000","Eriksen, who collapsed during a Euro 2020 game on Saturday, will have a defibrillator implanted, Denmark’s team doctor said.","Denmark Falls to Belgium as Both Teams Cheer Christian Eriksen",950,"Sports"
"28","2021-06-21T21:15:44+0000","A 4-1 victory over Russia sent Denmark to the knockout stages, a stunning turn in a tournament that began with the collapse of Denmark’s star, Christian Eriksen.","Denmark Advances at Euro 2020, Winning Where Eriksen Fell",589,"Sports"
"29","2021-07-19T22:30:28+0000","A caricature that many Muslims considered blasphemous prompted a debate over free speech and a massacre at the offices of a Paris magazine.","Kurt Westergaard, 86, Dies; His Muhammad Cartoon Sparked Outrage",728,"World"
"30","2021-06-12T16:50:48+0000","The midfielder was walking near the sideline when he fell over. Medical teams offered urgent treatment on the field.","Denmark’s Christian Eriksen collapsed on the field. He is responsive and awake.",661,"Sports"
"31","2021-06-13T11:27:58+0000","Denmark’s soccer federation said the midfielder who collapsed during a Euro 2020 match on Saturday had sent greetings to his teammates.","Denmark’s Christian Eriksen is stable condition but remains in the hospital.",404,"Sports"
"32","2021-06-03T16:18:43+0000","A new law is the latest in a series of hard-line measures that have been introduced in recent years to discourage migration.","Denmark Would Push Asylum Seekers Outside Europe for Processing",1039,"World"
"33","2021-12-08T00:00:00+0000","","Hindbaersnitter (Danish Raspberry Slices)",0,NA
"34","2021-07-07T22:03:43+0000","A 55-year wait for a place in a major final was always going to be agonizing. The final step did not disappoint.","Before England Could Celebrate, It Had to Suffer",1105,"Sports"
"35","2021-02-09T17:21:45+0000","An artists’ group, criticized as vandals for dumping the bust of an 18th-century king, Frederik V, into Copenhagen Harbor, says it wanted to draw attention to Denmark’s role in slave trading.","The Sinking of a Bust Surfaces a Debate Over Denmark’s Past",1281,"Arts"
"36","2021-07-06T18:30:51+0000","Raised on 55 years of disappointment, English fans are daring to hope this might be their year for a major championship.","Steeped in Soccer Heartbreak, England Holds Its Breath",1011,"World"
"37","2021-04-14T08:49:34+0000","The country is the first E.U. nation to make such a move. Many Syrians say that returning to their native country isn’t an option, and rights groups warn that the policy will tear some families apart.","They ‘Bombed My Dream’: Denmark Strips Some Syrians of Residency Status",1212,"World"
"38","2021-04-14T15:50:58+0000","The country hasn’t used it since last month, after concerns arose about a possible rare, dangerous side effect. Officials say they have adequate supplies of other vaccines to use instead.","Denmark says it’s permanently stopping use of the AstraZeneca vaccine.",535,"World"
"39","2021-06-13T14:07:08+0000","Eriksen went into cardiac arrest on the field during a game at Euro 2020, team officials said. His teammates will return to training on Monday.","Denmark’s team doctor on Christian Eriksen: ‘He was gone.’",316,"Sports"
"40","2021-07-02T19:38:02+0000","Big cats, ferrets, apes and bears are benefiting from a gift of 11,000 doses, but vaccines for pets are not recommended.","Zoo Animals Are Getting Experimental Coronavirus Vaccines",907,"Science"
"41","2021-07-06T16:14:17+0000","UEFA invited Eriksen, the Danish star who collapsed on the field during his team’s first game, and the paramedics who saved his life.","Denmark’s Christian Eriksen has been invited to Sunday’s final.",225,"Sports"
